  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:41,292 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:45,060 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:48,879 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:52,859 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:56,731 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
